,PC1,PC2,PC3
XRA,-0.39329008324929204,1.3644428190548277,-0.5131389564353924
REV,-0.31073328249764026,0.9275981844553867,-0.38584665518386785
CKC,-0.30840384535993365,0.9273655167846693,-0.3858809808475244
VIP,-0.350710974164134,1.7753040578788886,-0.6015204702814714
BSD,-0.39418162570700854,1.3643816666732964,-0.5131063018614339
OMNI,-0.1650991880464692,-1.0392506524148706,0.007544044301268504
LIR,-0.3589503681757818,0.7620109904960215,-0.06304602008786675
PUT,-0.31083944971723204,1.1664185179529656,-0.550813575775997
IBANK,-0.334558864696814,1.1678495779172997,-0.5503421626907307
FRWC,-0.33299923302283857,1.1678164383796468,-0.5503810805271704
MUDRA,-0.23365928022306987,1.3898671786812717,-0.3144027045123462
PIZZA,-0.22545282222559632,-0.8426660901829818,0.044793342302458704
LC,-0.3436424266822964,0.7978474830251809,-0.20786047907891814
KMD,-0.2572634040805296,-1.3280560414061258,0.20807529562915378
GB,-0.3949196103752763,1.364449724392354,-0.5130946926207124
CTC,-0.333763809894077,1.1678182322462043,-0.5503601239603282
KRB,0.30527729019194594,-2.351487813507819,0.39718019511187014
BXT,-0.31216917177084,0.9277544755947045,-0.3858271691269553
ZYD,-0.14236299744232675,-1.2793699066533075,0.17205257325401052
MST,-0.3954344075547565,1.3644845910262564,-0.5130849559913777
ZNE,-0.3347478393762593,1.1678674594422689,-0.5503392489326042
COVAL,-0.09912911657858722,-1.8332617516672218,0.362224450982021
ROOT,-0.33490439359202395,1.1678836689305567,-0.5503370164178809
DOPE,-0.16226844017023556,-1.0393930093643626,0.007484090194016807
BTCR,-0.29370906643052325,0.6017022462595958,-0.24487807324386127
DLC,-0.14232166147004988,-1.2793703059451254,0.1720514795432906
SCN,-0.25046368136712854,0.33720486670043376,-0.2215675594406786
SH,-0.1647628978242123,-1.0392723263444694,0.007537540591829352
BUZZ,0.03766122578693461,2.172086662215278,-0.771177922028884
XPO,-0.3692647986445995,1.006832039628267,-0.16490327482472833
PSB,-0.3345188697923254,1.167886979240973,-0.5503481310573655
HALLO,-0.38161022937683187,1.3633519614334677,-0.5133209082940495
