,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
EMB,X13,PoW/PoS,92192822723.0,850000000,0.8521780857658883,1.8744928611115756,-0.6857685566793864,EmberCoin,3
XEN,X11,PoW/PoS,3853326.77707314,3853326.77707314,-0.40754245703900815,1.3474176861859009,-0.49649620069781725,XenixCoin,3
FRE,PoS,PoS,50000000.0,50000000,-0.3279867169721735,1.3887194504216565,-0.1446059315833732,FreeCoin,3
PLNC,Scrypt,PoW/PoS,17089600.0,38540000 ,-0.32288327920205573,0.9592298413378096,-0.5422066067274806,PLNCoin,3
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000,-0.323038127641908,0.9592272740993616,-0.5421985780251943,AquariusCoin,3
KURT,X11,PoW,61364813.0,228000000,-0.24465255522565763,-0.7993437913675828,0.03446300294296978,Kurrent,0
XCRE,PoS,PoS,20000000.0,20000000,-0.3285679503172687,1.3887413834025664,-0.1445846768018941,Creatio,3
ENT,X11,PoW/PoS,6069482.07721352,60000000,-0.4071157682463679,1.3473765252532754,-0.49650475391847504,Eternity,3
EUC,SHA-256,PoW/PoS,12416554.0,20000000,-0.3191575768936037,0.9673195934633979,-0.27383080056601067,Eurocoin,3
BCF,Scrypt,PoW/PoS,20244023.640728,33000000,-0.3228840306842935,0.9592339097062502,-0.5422077158327074,BitcoinFast,3
XSN,X11,TPoS,75590369.0,76500000,-0.4073772143582746,0.8736262828230134,-0.2564843993940648,Stakenet,3
BCCOIN,Scrypt,PoW/PoS,11080722.3769581,28000000,-0.3230319398622882,0.9592375565464836,-0.5422017627776712,BitConnect Coin,3
MONEY,Scrypt,PoW/PoS,10914418.0,650659833,-0.31860333382041217,0.9587810353214256,-0.5422822904127007,MoneyCoin,3
XNG,X11,PoW/PoS,814671.0,5000000,-0.40757154786867594,1.3474168391514503,-0.49649458976171584,Enigma,3
XCI,CryptoNight,PoW,978145.0,21000000,0.2900393218149144,-2.2431730028056696,0.4029163274229115,Cannabis Industry Coin,0
RC,Scrypt,PoW/PoS,8377873.0,144000000,-0.3222396552237294,0.9591525022062314,-0.5422152178417663,Russiacoin,3
PND,Scrypt,PoS,33813143821.8337,32514916898,0.37397084068069547,0.6374590674213012,-0.2950033978971989,PandaCoin,3
UNITS,Scrypt,PoW/PoS,3472983.0,13000000,-0.3232319365099843,0.9592485384073691,-0.542195415576899,GameUnits,3
GAKH,Scrypt,PoW/PoS,3315789.0,3315789,-0.3233027732089014,0.9592556383370128,-0.5421940706183784,GAKHcoin,3
ASAFE2,Quark,PoS,10517772.7391666,15000000,-0.34604171535089023,1.4214711958747166,-0.23105383055461287,Allsafe,3
LTCR,QuBit,PoW/PoS,30227750.0,78835200,-0.3704783137144171,0.7539777648359491,-0.4753593117230134,LiteCreed,3
OS76,Scrypt,PoW,894026.0,2714286,-0.1627468142085482,-1.187341183274791,-0.011171063959016736,OsmiumCoin,0
BIC,CryptoNight,PoW,9357088.0,25000000,0.2901705000505808,-2.243175918098163,0.40291095800195287,Bikercoins,0
HXX,Lyra2RE,PoW,1876146.443596,9999999,-0.16122758431167777,-2.2054109201696277,0.33335022097973155,HexxCoin,0
KED,Scrypt,PoW/PoS,23965372.0,500000000,-0.31951539151322933,0.9588915230267259,-0.5422703391379636,Klingon Empire Darsek,3
IOP,SHA-256,PoW/PoS,2526078.47525448,21000000,-0.31927170628650015,0.9673188397199057,-0.2738252033687005,Internet of People,3
KUSH,X11,PoW/PoS,5659096.95728771,9354000,-0.4074811795167065,1.3474136569645443,-0.49649795850034517,KushCoin,3
PRX,Scrypt,PoW/PoS,11821728.0,20000000,-0.3230797814410031,0.9592434235162149,-0.5422011559622323,Printerium,3
PAC,X11,PoW,536982074.0,100000000000,0.471123009049963,-0.8724935000596116,0.02126882789244511,PacCoin,0
IMPCH,Scrypt,PoW/PoS,308179.0,21933333,-0.32320716642490754,0.9592419820981269,-0.5421947398406286,Impeach,3
CTL,CryptoNight-V7,PoW,10969318.522954,185000000,-0.1553726216166998,-2.152376722654594,0.44264710416007436,Citadel,0
ZBC,Scrypt,PoS,2922613.96424908,55000000,-0.2714750990042198,0.6611876843765432,-0.27122394403697303,Zilbercoin,3
FRST,Scrypt,PoW/PoS ,110000000.0,110000000,-0.24949180917264127,0.027126122117099267,-0.3862202510196808,FirstCoin,3
BVC,Scrypt,PoW,3115258.0,3360000,-0.16271498994503605,-1.1873416520799747,-0.011172433682750907,BeaverCoin,0
